doc_id,doi,title,reaction_system,raw_reaction_system,confidence,rationale,evidence_terms,status
doc_0001,,10.1002/adma.200900677,other_reaction,other_reaction,0.93,"The abstract focuses on proton exchange membrane fuel cells and the kinetics of the oxygen reduction reaction (ORR) on electrocatalysts (Pt and Pt-alloys, CNT supports). This indicates ORR is the central electrochemical reaction system rather than CO2RR or CORR.","['oxygen reduction reaction', 'ORR', 'proton exchange membrane fuel cells', 'PEMFC', 'electrocatalysts', 'Pt alloy']",ok
doc_0002,,10.1002/adma.201400087,CO2RR,CO2RR,0.82,The title/abstract/conclusion repeatedly describe photocatalytic reduction/photoreduction and fixation of CO2 to hydrocarbon/value‑added fuels (artificial photosynthesis). The central chemical transformation is CO2 reduction.,"['photocatalytic reduction of CO2', 'CO2 photoreduction', 'reduction of CO2 to hydrocarbon fuels', 'CO2 fixation and conversion']",ok
doc_0003,,10.1002/adma.201400955,non_reaction,non_reaction,0.92,"The abstract discusses blue phosphorescent organic light-emitting diodes (OLEDs), host/co-host materials, triplet energy, exciplex formation, device efficiency and out-coupling — topics in optoelectronic materials and device engineering. There is no mention of CO2 or CO electroreduction, other electrochemical reactions, or electrolysis. Thus the paper is focused on materials/devices rather than an electrochemical reaction system.","['blue phosphorescent organic light-emitting diodes (OLEDs)', 'host materials', 'triplet energy', 'co-host', 'exciplex forming co-hosts', 'EQE (external quantum efficiency)', 'device structure']",ok
doc_0004,,10.1002/adma.201502696,other_reaction,other_reaction,0.91,"The abstract and conclusion explicitly describe electrocatalysis for water electrolysis, focusing on hydrogen evolution reaction (HER) and oxygen evolution reaction (OER) and cobalt-based bifunctional catalysts for water splitting. This is an electrochemical water-splitting system, not CO2RR/CORR.","['water electrolysis', 'hydrogen evolution reaction (HER)', 'oxygen evolution reaction (OER)', 'water splitting', 'bifunctional HER-OER catalysts']",ok
doc_0005,,10.1002/adma.201504766,CO2RR,CO2RR,0.98,"The title/abstract and conclusion explicitly discuss electrochemical reduction of CO2, CO2 electroreduction/electrolysis, and development of electrocatalysts for CO2 reduction. The whole paper focuses on heterogeneous electrocatalysts for converting CO2 to value-added products.","['CO2 electroreduction', 'electrochemical reduction of CO2', 'CO2 electrolysis', 'electrocatalysts for CO2 reduction', 'atmospheric CO2']",ok
doc_0006,,10.1002/adma.201505045,other_reaction,other_reaction,0.9,"The abstract explicitly discusses the oxygen reduction reaction (ORR) as the central electrochemical process, focusing on ORR electrocatalysts for fuel cells and metal–air batteries. No mention of CO2 or CO electroreduction is present.","['oxygen reduction reaction', 'ORR', 'fuel cells', 'metal–air batteries', 'Pt-based catalysts', 'M,N-C electrocatalysts']",ok
doc_0008,,10.1002/adma.201606793,other_reaction,other_reaction,0.9,"The abstract explicitly focuses on electrochemical water splitting and the anodic oxygen evolution reaction (OER), developing Fe–Co oxide nanosheet catalysts to improve OER activity for H2 production. There is no mention of CO2 or CO reduction chemistry, so the central reaction is OER (other electrochemical reaction).","['oxygen evolution reaction', 'OER', 'electrochemical water splitting', 'H2 production', 'OH− ions', 'adsorption of H2O', 'FeCo oxide nanosheets']",ok
doc_0009,,10.1002/adma.201701784,CO2RR,CO2RR,0.95,"The abstract and conclusion repeatedly and explicitly discuss electrochemical reduction of CO2 (CO2RR), heteroatom-doped carbon materials as metal-free electrocatalysts for CO2 reduction, identification of active sites and pathways for reduction of CO2 to products (including C2/C3). The paper is a review focused on CO2 electroreduction.","['CO2', 'CO2 reduction', 'electrochemical reduction of CO2', 'CO2RR', 'metal-free electrocatalysts', 'heteroatom-doped carbon materials', 'reduction of CO2 to final product', 'C2 and C3 products']",ok
doc_0010,,10.1002/adma.201704649,CO2RR,CO2RR,0.88,"The title/abstract and conclusion consistently focus on photocatalytic CO2 reduction and development of cocatalysts to convert CO2 into fuels (mentions products like CO and HCOOH). The primary reaction discussed is CO2 reduction (photocatalytic), so the paper centers on CO2 reduction rather than CO electroreduction or other electrochemical reactions.","['photocatalytic CO2 reduction', 'convert CO2 into hydrocarbon fuels', 'CO2 reduction cocatalysts', 'promoting photocatalytic CO2 reduction to CO or HCOOH', 'CO2 conversion']",ok
doc_0011,,10.1002/adma.201705431,other_reaction,other_reaction,0.95,"The abstract repeatedly describes oxygen reduction reaction (ORR) and oxygen evolution reaction (OER) as the target electrocatalytic reactions and discusses performance in Zn–air batteries and water-splitting systems. No mention of CO2 or CO electroreduction is present, so the paper focuses on ORR/OER rather than CO2RR/CORR.","['oxygen reduction reaction', 'oxygen evolution reaction', 'ORR', 'OER', 'Zn–air batteries', 'rechargeable Zn–air batteries', 'water-splitting systems', 'bifunctional catalyst']",ok
doc_0012,,10.1002/adma.201705872,CO2RR,CO2RR,0.95,"The abstract explicitly describes electroreduction of CO2 to produce syngas (CO and H2), reports Faradaic efficiencies for CO in CO2 electroreduction, and discusses tuning CO/H2 ratios and the influence of catalyst composition on H2 vs CO selectivity—all indicating CO2RR is the main reaction system.","['Electroreduction of CO2', 'CO2 electroreduction', 'syngas', 'CO production', 'H2 production', 'CO/H2 ratios', 'Faradaic efficiency']",ok
doc_0013,,10.1002/adma.201706108,CO2RR,CO2RR,0.8,"The abstract explicitly describes photocatalytic reduction of CO2 to CO (reports a 'CO evolution rate' and discusses CO2 adsorption and CO adsorption). The paper focuses on CO2 conversion to CO via a Z-scheme photocatalyst, i.e., CO2 reduction chemistry, so it is best classified under CO2 reduction (CO2RR).","['CO2', 'photocatalytic reduction of CO2 to CO', 'CO evolution rate', 'CO2 adsorption', 'CO adsorption', 'Z-scheme hematite and carbon nitride']",ok
doc_0014,,10.1002/adma.201706287,CO2RR,CO2RR,0.9,"The abstract explicitly states the work studies electrochemical reduction of CO2 to CO using single-atom Ni catalysts (NiSA-N-CNTs) and reports TOF at a specific potential vs RHE, indicating CO2 electroreduction is the main reaction.","['electrochemical reduction of CO2 to CO', 'CO2', 'NiSA-N-CNTs', 'turnover frequency (TOF) at −0.55 V vs RHE']",ok
doc_0015,,10.1002/adma.201802858,CO2RR,CO2RR,0.9,"The abstract explicitly describes electrochemical reduction of CO2 (C O 2) to fuels/feedstocks, reports CO2 reduction reaction selectivity and Faradaic efficiency, and states production of formic acid/formate using Bi-based catalysts. The focus is clearly CO2 electroreduction rather than CO reduction or other reactions.","['electrochemical reduction of CO2', 'C O 2 reduction reaction selectivity', 'Faradaic efficiency', 'formic acid', 'formate', 'stable current densities up to 200 mA cm^-2', 'BiOBr-templated catalyst', 'Bi (110) facets']",ok
doc_0016,,10.1002/adma.201803111,CO2RR,CO2RR,0.95,"The title/abstract/conclusion repeatedly and explicitly describe electrochemical reduction of CO2 in a CO2 electrolyzer producing C2+ products using a nanoporous Cu catalyst and discuss electrolyte effects and CO2 electroreduction performance, indicating CO2RR is the main reaction.","['electrochemical reduction of carbon dioxide', 'CO2 electrolysis', 'CO2 electrolyzer', 'CO2 electroreduction', 'C2+ product selectivity', 'nanoporous copper catalyst', 'microfluidic CO2 flow cell']",ok
doc_0017,,10.1002/adma.201804257,CO2RR,CO2RR,0.95,"The title/abstract and conclusion repeatedly and explicitly discuss electrocatalytic reduction of CO2 (eCO2RR), carbon-based catalysts for CO2 reduction, products such as CO, C2H4 and C2H5OH, and issues specific to CO2 electroreduction (electrolytes, active sites, C–C coupling). The paper focuses on CO2 electroreduction rather than CO reduction or other electrochemical reactions.","['electrocatalytic reduction of CO2', 'eCO2RR', 'C O 2 reduction', 'CO production', 'C2H4', 'C2H5OH', 'metal–nitrogen–carbon (M–N–C)', 'carbon-based catalysts for CO2 reduction', 'C–C coupling', 'electrolyte chemistry (KHCO3, KOH)']",ok
doc_0018,,10.1002/adma.201804710,CO2RR,CO2RR,0.95,"The title/abstract and conclusion repeatedly and explicitly discuss photoelectrochemical (PEC) reduction of CO2, cocatalysts for PEC CO2 reduction, CO evolution, and conversion of CO2 into fuels—indicating the paper's main reaction is CO2 electroreduction.","['PEC CO2 reduction', 'photoelectrochemical reduction of CO2', 'photocatalytic reduction of CO2', 'CO evolution', 'conversion of CO2 into fuels', 'CO2']",ok
doc_0019,,10.1002/adma.201804867,unknown,unknown,0.1,"Only a DOI string was provided (title field contains the DOI). No title, abstract, or conclusion text is available to identify the reaction system. Unable to determine whether the paper targets CO2RR, CORR, another electrochemical reaction, or is non-reaction-focused.","['10.1002/adma.201804867', 'no abstract provided', 'no conclusion provided']",ok
